,Time,bus_count,car_count,taxi_count,motorcycle_count,tricycle_count
645,6905.00,1,1,0,0,0
646,6910.00,1,1,0,0,0
647,6915.00,1,1,0,0,0
648,6920.00,1,1,0,0,0
649,6925.00,1,1,0,0,0
650,6930.00,1,2,0,0,0
651,6935.00,1,3,0,0,0
652,6940.00,1,3,0,0,0
653,6945.00,1,3,0,0,0
654,695.00,0,1,0,3,0
655,6950.00,1,3,0,0,0
656,6955.00,1,3,0,0,0
657,6960.00,1,3,0,0,0
658,6965.00,1,3,0,0,0
659,6970.00,1,3,0,0,0
660,6975.00,1,3,0,0,0
661,6980.00,1,3,0,0,0
662,6985.00,1,3,0,0,0
663,6990.00,2,3,0,0,0
664,6995.00,2,3,0,0,0
665,70.00,10,0,0,3,0
666,700.00,0,1,0,3,0
667,7000.00,2,3,0,0,0
668,7005.00,2,3,0,0,0
669,7010.00,2,2,0,0,0
670,7015.00,2,3,0,0,0
671,7020.00,2,3,0,0,0
672,7025.00,2,2,0,0,0
673,7030.00,2,2,0,0,0
674,7035.00,2,2,0,0,0
675,7040.00,2,2,0,0,0
676,7045.00,2,2,0,0,0
677,705.00,0,1,0,3,0
678,7050.00,2,2,0,0,0
679,7055.00,2,2,0,0,0
680,7060.00,2,2,0,0,0
681,7065.00,2,2,0,0,0
682,7070.00,2,3,0,0,0
683,7075.00,2,3,0,0,0
684,7080.00,3,3,0,0,0
685,7085.00,3,3,0,0,0
686,7090.00,3,3,0,0,0
687,7095.00,3,3,0,0,0
688,710.00,0,1,0,3,0
689,7100.00,3,3,0,0,0
690,7105.00,3,3,0,0,0
691,7110.00,3,3,0,0,0
692,7115.00,3,3,0,0,0
693,7120.00,3,3,1,0,0
694,7125.00,3,3,1,0,0
695,7130.00,4,3,1,0,0
696,7135.00,4,3,1,0,0
697,7140.00,4,3,1,0,0
698,7145.00,4,3,1,0,0
699,715.00,0,1,0,3,0
700,7150.00,4,3,1,0,0
701,7155.00,5,3,1,0,0
702,7160.00,5,3,1,0,0
703,7165.00,5,3,1,0,0
704,7170.00,5,3,1,0,0
705,7175.00,5,4,1,0,0
706,7180.00,5,4,1,0,0
707,7185.00,5,4,1,0,0
708,7190.00,5,4,1,0,0
709,7195.00,5,4,1,0,0
710,720.00,0,1,0,3,0
711,7200.00,5,4,1,0,0
712,7205.00,5,4,1,0,0
713,7210.00,5,4,1,0,0
714,7215.00,5,4,1,0,0
715,7220.00,5,4,1,0,0
716,7225.00,5,4,1,0,0
717,7230.00,5,4,1,0,0
718,7235.00,5,4,1,0,0
719,7240.00,5,4,1,0,0
720,7245.00,5,4,1,0,0
721,725.00,0,1,0,3,0
722,7250.00,5,4,1,0,0
723,7255.00,5,4,1,0,0
724,7260.00,5,4,1,0,0
725,7265.00,5,4,1,0,0
726,7270.00,5,4,1,0,0
727,7275.00,5,4,1,0,0
728,7280.00,5,3,1,0,0
729,7285.00,5,3,1,0,0
730,7290.00,5,3,1,0,0
731,7295.00,6,3,1,0,0
732,730.00,0,1,0,3,0
733,7300.00,6,3,1,0,0
734,7305.00,6,3,1,0,0
735,7310.00,6,3,1,0,0
736,7315.00,6,3,1,0,0
737,7320.00,6,2,1,0,0
738,7325.00,6,2,1,0,0
739,7330.00,6,2,1,0,0
740,7335.00,6,3,1,0,0
741,7340.00,6,3,1,0,0
742,7345.00,6,3,1,0,0
743,735.00,0,1,0,3,0
744,7350.00,5,3,1,0,0
745,7355.00,6,3,1,0,0
746,7360.00,5,3,1,0,0
747,7365.00,4,3,1,0,0
748,7370.00,4,3,1,0,0
749,7375.00,4,3,1,0,0
750,7380.00,4,3,1,0,0
751,7385.00,4,3,1,0,0
752,7390.00,4,3,1,0,0
753,7395.00,4,3,1,0,0
754,740.00,0,1,0,3,0
755,7400.00,4,3,1,0,0
756,7405.00,4,3,1,0,0
757,7410.00,4,3,1,0,0
758,7415.00,4,3,1,0,0
759,7420.00,4,3,1,0,0
760,7425.00,4,3,1,0,0
761,7430.00,4,3,1,0,0
762,7435.00,4,3,1,0,0
763,7440.00,4,3,1,0,0
764,7445.00,4,3,1,0,0
765,745.00,0,1,0,3,0
766,7450.00,4,4,1,0,0
767,7455.00,3,4,1,0,0
768,7460.00,3,4,1,0,0
769,7465.00,3,4,1,0,0
770,7470.00,3,4,1,0,0
771,7475.00,4,4,1,0,0
772,7480.00,4,4,1,0,0
773,7485.00,4,4,1,0,0
774,7490.00,4,4,1,0,0
775,7495.00,3,4,1,0,0
776,75.00,10,0,0,4,0
777,750.00,0,1,0,3,0
778,7500.00,3,4,1,0,0
779,7505.00,3,3,1,0,0
780,7510.00,3,3,1,0,0
781,7515.00,3,3,1,0,0
782,7520.00,3,3,1,0,0
783,7525.00,2,3,1,0,0
784,7530.00,2,3,1,0,0
785,7535.00,2,3,1,0,0
786,7540.00,2,3,1,0,0
787,7545.00,2,3,1,0,0
788,755.00,0,1,0,3,0
789,7550.00,2,3,1,0,0
790,7555.00,2,3,1,0,0
791,7560.00,3,3,1,0,0
792,7565.00,3,4,0,0,0
793,7570.00,4,4,0,0,0
794,7575.00,4,3,1,0,0
795,7580.00,4,2,1,0,0
796,7585.00,4,2,1,0,0
797,7590.00,4,2,0,0,0
798,7595.00,4,2,0,0,0
799,760.00,0,1,0,3,0
800,7600.00,4,2,0,0,0
801,7605.00,4,2,0,0,0
802,7610.00,4,2,0,0,0
803,7615.00,4,2,0,0,0
804,7620.00,5,2,0,0,0
805,7625.00,5,2,0,0,0
806,7630.00,5,2,0,0,0
807,7635.00,5,2,0,0,0
808,7640.00,5,2,0,0,0
809,7645.00,5,2,0,0,0
810,765.00,0,1,0,3,0
811,7650.00,5,2,0,0,0
812,7655.00,5,2,0,0,0
813,7660.00,5,2,0,0,0
814,7665.00,5,2,0,0,0
815,7670.00,5,2,0,0,0
816,7675.00,5,2,0,0,0
817,7680.00,5,2,0,0,0
818,7685.00,5,2,0,0,0
819,7690.00,5,1,0,0,0
820,7695.00,5,1,0,0,0
821,770.00,0,1,0,2,0
822,7700.00,5,1,0,0,0
823,7705.00,5,1,0,0,0
